GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,41,3,0,0,12,1,3,1,3,1
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,11,3,0,0,4,1,3,1,3,1
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,6,118,2,2,3,35,3,6,1,6
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,2,121,0,4,1,36,1,8,1,6
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,6,105,2,2,3,33,3,6,1,6
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,24,88,3,1,8,28,3,6,1,6
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,30,81,3,1,10,26,4,5,2,5
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,6,105,2,2,3,33,3,6,1,6
spring-boot-skeleton,com.nnk.springboot.utils,PasswordUtils,11,6,0,0,2,3,2,1,2,1
spring-boot-skeleton,com.nnk.springboot.services,RuleNameService,138,10,0,0,33,4,8,2,8,2
spring-boot-skeleton,com.nnk.springboot.services,CurvePointService,145,10,0,0,36,4,8,2,8,2
spring-boot-skeleton,com.nnk.springboot.services,UserService,190,13,8,0,41,5,12,2,8,2
spring-boot-skeleton,com.nnk.springboot.services,BidListService,120,25,0,0,27,8,7,3,7,3
spring-boot-skeleton,com.nnk.springboot.services,TradeService,132,10,0,0,30,4,8,2,8,2
spring-boot-skeleton,com.nnk.springboot.services,RatingService,131,10,2,0,33,4,8,2,7,2
spring-boot-skeleton,com.nnk.springboot.configuration,SecurityConfig,0,93,0,0,0,12,0,8,0,8
spring-boot-skeleton,com.nnk.springboot.configuration,CustomUserDetailsService,0,42,0,2,0,8,0,4,0,3
spring-boot-skeleton,validations,ValidPasswordIfPresentValidator,0,14,0,4,0,4,0,4,0,2
spring-boot-skeleton,validations,ValidationGroup,3,0,0,0,1,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,Rating,155,98,41,5,0,8,24,15,1,15
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,247,92,62,0,0,10,34,17,3,17
spring-boot-skeleton,com.nnk.springboot.domain,BidList,853,134,182,0,1,24,113,28,22,28
spring-boot-skeleton,com.nnk.springboot.domain,Trade,749,195,174,0,0,24,107,28,20,28
spring-boot-skeleton,com.nnk.springboot.domain,User,105,148,31,15,0,18,23,16,1,15
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,224,74,54,0,0,9,32,13,5,13
